N-gram,Model,Accuracy,Macro F1,Weighted F1,Best Threshold (joy)
unigrams,LinearSVM,0.8355,0.7752,0.8339,0.1
bigrams,LinearSVM,0.822,0.7373,0.8177,0.1
unigrams,LogisticRegression,0.8205,0.7788,0.8217,0.1
trigrams,LinearSVM,0.815,0.7388,0.8123,0.5
bigrams,LogisticRegression,0.812,0.7691,0.8129,0.1
trigrams,LogisticRegression,0.8045,0.7605,0.8052,0.1
